niche,niche_type,priority,query,score,video_id,url,title,channel,channel_handle,views,views_text,published,age_days_est,views_per_day_est,duration_seconds,duration_minutes,is_long_1h_plus
current_ptbr_country_gospel_blues,current,1,Deus viu suas lágrimas country gospel blues 1 hora,54.0,5xEHreDkNU0,https://www.youtube.com/watch?v=5xEHreDkNU0,"DEUS ESTÁ GUARDANDO SUA CASA | HINOS GOSPEL INÉDITOS DE PROTEÇÃO, MILAGRES E RESTAURAÇÃO",Davi Blues,UCIm3-7uNO1LEUn-cUo3GKKg,653514,,,,,9757,162.62,True
current_dark_deep_house_noir_pulse,current,3,dark deep house mix no vocals 2 hour night drive,52.0,QiF0E3K_r-U,https://www.youtube.com/watch?v=QiF0E3K_r-U,working late in a neon city | no vocals deep house study mix,SOUND ISLAND,UCU7NovgDIyajjdY7Uci-Szw,130848,,,,,7605,126.75,True
current_dark_deep_house_noir_pulse,current,3,dark progressive house mix no vocals 1 hour 2026,52.0,jB8zCEsPn_I,https://www.youtube.com/watch?v=jB8zCEsPn_I,no vocals house music for studying / working / coding - from distraction to focus,SOUND ISLAND,UCU7NovgDIyajjdY7Uci-Szw,613686,,,,,8700,145.0,True
current_dark_deep_house_noir_pulse,current,3,dark progressive house mix no vocals 1 hour 2026,52.0,QhMs-t7EhXY,https://www.youtube.com/watch?v=QhMs-t7EhXY,Best Deep House Songs Of All Time - Deep House Vibes 2026 | Tropical House Journey, Inner Deep Radio,UCIAqhzUWu55IDxrRN9SpiFg,3259574,,,,,12057,200.95,True
current_jazz_lounge,current,4,cozy night jazz 1 hour smooth jazz for work study coffee,51.0,MYPVQccHhAQ,https://www.youtube.com/watch?v=MYPVQccHhAQ,"4K Cozy Coffee Shop with Smooth Piano Jazz Music for Relaxing, Studying and Working",Relaxing Jazz Piano,UC84t1K5ri-7u9bFCaUKTXDA,69595090,,,,,12923,215.38,True
current_jazz_lounge,current,4,cozy night jazz 1 hour smooth jazz for work study coffee,51.0,c18WZZa4KIA,https://www.youtube.com/watch?v=c18WZZa4KIA,Fall Coffee Shop Bookstore Ambience with Relaxing Jazz Music & Rain Sounds [No Mid Roll Ads],Calmed By Nature,UCJuMbdKSMThk2RpALASyXVQ,7331079,,,,,28922,482.03,True
current_jazz_lounge,current,4,cozy night jazz 1 hour smooth jazz for work study coffee,51.0,iBeKujv18OI,https://www.youtube.com/watch?v=iBeKujv18OI,【No ads】Rainy Day at Cozy Coffee Shop with Smooth Jazz Music and Rain Sounds for Stress Relief,javichulo98,UCqdsWIYFg9VFRyiCCtQ_Kxw,1025841,,,,,28801,480.02,True
current_jazz_lounge,current,4,cozy night jazz 1 hour smooth jazz for work study coffee,51.0,8w5ELqXNlvk,https://www.youtube.com/watch?v=8w5ELqXNlvk,"Late Night Jazz Lounge🍷Relaxing Jazz Bar Classics for Working, Relaxing, Studying",Coffee Jazz Melody,UCKvKjZ3l9azWz4F49q2R3tQ,4395869,,,,,43113,718.55,True
current_jazz_lounge,current,4,smooth jazz lounge 1 hour 30 relaxing instrumental,51.0,JElyhCKzhWI,https://www.youtube.com/watch?v=JElyhCKzhWI,vintage jazz on a rainy 1940s night | cozy ambience to relax,Lepreezy,UC0nhLOlJnqSlSHhPc2Iea4A,6545211,,,,,11398,189.97,True
current_jazz_lounge,current,4,rainy night jazz coffee shop ambience 2026,51.0,VhbID9DZns8,https://www.youtube.com/watch?v=VhbID9DZns8,Night Owl Jazz Cafe Ambience with Relaxing Jazz Music & Rain Sounds,Calmed By Nature,UCJuMbdKSMThk2RpALASyXVQ,3362351,,,,,28981,483.02,True
