niche,query,score,video_id,url,title,channel,channel_handle,views,views_text,published,age_days_est,views_per_day_est,duration_seconds,duration_minutes,is_long_1h_plus
current_jazz_lounge,rainy night jazz coffee shop ambience 2026,105.0,NJuSStkIZBg,https://www.youtube.com/watch?v=NJuSStkIZBg,"Rainy Jazz Cafe - Slow Jazz Music in Coffee Shop Ambience for Work, Study and Relaxation",Coffee Shop Vibes,@CoffeeShopVibes,48625477,"48,625,477 views",4 years ago,1460,33305.12,12840,214.0,True
current_jazz_lounge,jazz cafe music for work study relaxing 1 hour,105.0,MYPVQccHhAQ,https://www.youtube.com/watch?v=MYPVQccHhAQ,"4K Cozy Coffee Shop with Smooth Piano Jazz Music for Relaxing, Studying and Working",Relaxing Jazz Piano,@relaxingjazzpiano6491,69590839,"69,590,839 views",4 years ago,1460,47664.96,12923,215.38,True
current_dark_deep_house_noir_pulse,after 2am dark deep house mix focus no vocals,100.0,sPk2viKd0cE,https://www.youtube.com/watch?v=sPk2viKd0cE,"Deep House Mix 2026 | Emotional Night Drive, Vocal House, Nu Disco | Chill Mood",After 2AM,@After._.2AM-g9p,2865800,"2,865,800 views",3 months ago,90,31842.22,6109,101.82,True
discovery_afro_deep_house,afro deep house mix 2026 1 hour no vocals,100.0,sPk2viKd0cE,https://www.youtube.com/watch?v=sPk2viKd0cE,"Deep House Mix 2026 | Emotional Night Drive, Vocal House, Nu Disco | Chill Mood",After 2AM,@After._.2AM-g9p,2865800,"2,865,800 views",3 months ago,90,31842.22,6109,101.82,True
discovery_afro_deep_house,afro melodic house mix 2026 long mix,100.0,wgGYnI_Rnd8,https://www.youtube.com/watch?v=wgGYnI_Rnd8,Afro House 2026 Mix | Deep Melodic Set 🎧 | Black Coffee Style Vol.49☕️,Afro House Rhythm,@AfroHouseRhythm8386,121554,"121,554 views",3 days ago,3,40518.0,5821,97.02,True
discovery_afro_deep_house,afro melodic house mix 2026 long mix,100.0,FVEPG9JBXyU,https://www.youtube.com/watch?v=FVEPG9JBXyU,Afro House 2026 Mix | Deep Melodic Set 🎧 | Black Coffee Style Vol.56,Afro House club,@AfroHouseclub-l6y,232073,"232,073 views",7 days ago,7,33153.29,6114,101.9,True
discovery_afro_deep_house,afro deep house mix 2026 1 hour no vocals,92.97,KrmAqZ1BMN0,https://www.youtube.com/watch?v=KrmAqZ1BMN0,Afro House 2026 Mix | Deep Melodic Set 🎧 | Black Coffee Style Vol.58,Afro House club,@AfroHouseclub-l6y,132418,"132,418 views",5 days ago,5,26483.6,5889,98.15,True
discovery_afro_deep_house,afro melodic house mix 2026 long mix,90.0,Sq_L2BCW5BQ,https://www.youtube.com/watch?v=Sq_L2BCW5BQ,Afro House 2026 | Deep Melodic Set | Black Coffee Style | DJ VANTA | 1 Hour Vol.16,VANTA AFRO HOUSE,@VANTAAFROHOUSE-p6e,180899,"180,899 views",2 days ago,2,90449.5,5355,89.25,True
discovery_afro_deep_house,afro deep house mix 2026 1 hour no vocals,83.5,UIzQAbsrlRk,https://www.youtube.com/watch?v=UIzQAbsrlRk,Afro House Mix 2026 🔥 Tribal Afro House Energy | Emotional Melodic Beats #VOL 35,Jungle Pulse House,@JunglePulseHouse,1305054,"1,305,054 views",2 months ago,60,21750.9,5963,99.38,True
discovery_afro_deep_house,afro deep house mix 2026 1 hour no vocals,81.66,bgx7Lmzy-Rg,https://www.youtube.com/watch?v=bgx7Lmzy-Rg,Afro House 2026 | Deep Melodic Mix | Black Coffee Style Vol. 1 ☕️,Afro Pulse Frequency,@AfroPulseFrequency01,2324625,"2,324,625 views",3 months ago,90,25829.17,3649,60.82,True
